items__track,items__episode__episodeName,items__episode__showName,items__episode__episodeUri,name,lastModifiedDate,items__track__trackName,items__track__artistName,items__track__albumName,items__track__trackUri,items__episode,items__localTrack__uri,items__localTrack,items__addedDate,description,numberOfFollowers,genero,dia_da_semana
,,,,✨✨,2022-09-19,Me Namora,Gabriel Elias,4 Estações,spotify:track:0CZS3nJGpSyas7dVEs2lXK,,,,2022-09-18,,0.0,Surf Music,6
,,,,,,O Amor é o Segredo,Vitor Kley,A Bolha,spotify:track:7tOXo8dzQYKgWHWB9nxBVg,,,,2022-09-18,,,Pop,6
,,,,,,Trem-Bala,Ana Vilela,Trem-Bala,spotify:track:05QeyKGAn4TZrv41tMiD1A,,,,2022-09-18,,,MPB,6
,,,,,,Eu Te Amo - Voz E Violão,Bryan Behr,Simples,spotify:track:4U9eZDj53JgPJxnEMZjd0h,,,,2022-09-18,,,MPB,6
,,,,,,O Sol,Vitor Kley,Adrenalizou,spotify:track:1j5N75y26nH2l0uPa9JlKe,,,,2022-09-18,,,Pop,6
,,,,,,A Gente Nunca Conversou (Ei Moça),Lagum,A Gente Nunca Conversou (Ei Moça),spotify:track:7eRhMBRHhmRA7VvWLVIMyO,,,,2022-09-18,,,Pop Rock,6
,,,,,,The Scientist,Coldplay,A Rush of Blood to the Head,spotify:track:75JFxkI2RXiU7L9VXzMkle,,,,2022-09-18,,,Pop,6
,,,,,,Demons,Imagine Dragons,Night Visions,spotify:track:5qaEfEh1AtSdrdrByCP7qR,,,,2022-09-18,,,Pop,6
,,,,,,Viva La Vida - Live,Coldplay,Live 2012,spotify:track:5ZV67iTfNpW3ueMCELLiSX,,,,2022-09-18,,,Pop,6
,,,,,,Chega,Gabriel O Pensador,Chega,spotify:track:6R23hoUfJ956U4lO7RWon7,,,,2022-09-18,,,Rap,6
,,,,,,Trevo (Tu),ANAVITÓRIA,Acústico Brasil,spotify:track:5QhuPTOpUXl9TGEPg3Up7M,,,,2022-09-18,,,,6
,,,,,,Viva La Vida - Live from Spotify London,Coldplay,Live from Spotify London,spotify:track:6qt0IWS8y6yGR6gNTEmQzj,,,,2022-09-18,,,Pop,6
,,,,,,Fuzuê - Ao Vivo,TIAGO IORC,Acústico MTV Tiago Iorc,spotify:track:0rOdLG3DGB6JLAZDG92dSa,,,,2022-09-18,,,MPB,6
,,,,,,Hymn for the Weekend,Coldplay,A Head Full of Dreams,spotify:track:3RiPr603aXAoi4GHyXx0uy,,,,2022-09-18,,,Pop,6
